model,modbus_address,parameter,parameter_manual_reference,unit,register_length,data_type,r_w,indb,setup_read,setup_write,timestamp,read_command,write_command,value_weight,address
EM330DINAV53HS1X,86,vah_imported_total,kVAh TOT,kVAh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,88,vah_exported_partial,kVAh PARTIAL,kVAh ,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,90,hour_m,Run hour meter,NULL,1,int32,r,f,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,88,hour_m_exported_kwh,Run hour meter kWh (-),NULL,1,int32,r,f,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,96,kwh_exported_l1,kWh (-) L1,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,98,kwh_exported_l2,kWh (-) L2,kWh,1,int32,r,t,f,f,f,3,NULL,NULL,NULL
EM330DINAV53HS1X,100,kwh_exported_l3,kWh (-) L3,kWh,1,int32,r,t,f,f,f,3,NULL,0,NULL
EM330DINAV53HS1X,102,kwh_imported_tariff5,kWh (+) t5,kWh,1,int32,r,f,f,f,f,3,NULL,2,NULL
EM330DINAV53HS1X,104,kwh_imported_tariff6,kWh (+) t6,kWh,1,int32,r,f,f,f,f,3,NULL,4,NULL
EM330DINAV53HS1X,106,kwh_imported_tariff7,kWh (+) t7,kWh,1,int32,r,f,f,f,f,3,NULL,6,NULL
EM330DINAV53HS1X,108,kwh_imported_tariff8,kWh (+) t8,kWh,1,int32,r,f,f,f,f,3,NULL,8,NULL
EM330DINAV53HS1X,130,thd_current_l1,THD A L1,NULL,1,int32,r,t,f,f,f,3,NULL,0,NULL
EM330DINAV53HS1X,132,thd_current_l2,THD A L2,NULL,1,int32,r,t,f,f,f,3,NULL,2,NULL
EM330DINAV53HS1X,134,thd_current_l3,THD A L3,NULL,1,int32,r,t,f,f,f,3,NULL,4,NULL
EM330DINAV53HS1X,136,thd_voltage_l2-l3,THDV L-L sys,NULL,1,int32,r,t,f,f,f,3,NULL,6,NULL
EM330DINAV53HS1X,138,thd_voltage_ll,THD V L-N sys,NULL,1,int32,r,t,f,f,f,3,NULL,8,NULL
EM330DINAV53HS1X,140,thd_voltage_ln,THD V L1-N,NULL,1,int32,r,t,f,f,f,3,NULL,0,NULL
EM330DINAV53HS1X,142,thd_voltage_l2,THD V L1-L2,NULL,1,int32,r,t,f,f,f,3,NULL,2,NULL
EM330DINAV53HS1X,144,thd_voltage_l1-l2,THD V L2-N,NULL,1,int32,r,t,f,f,f,3,NULL,4,NULL
EM330DINAV53HS1X,146,thd_voltage_l3-l1,THD V L2-L3,NULL,1,int32,r,t,f,f,f,3,NULL,6,NULL
EM330DINAV53HS1X,148,thd_voltage_l1,THD V L3-N,NULL,1,int32,r,t,f,f,f,3,NULL,8,NULL
EM330DINAV53HS1X,150,thd_voltage_l3,THD V L3-L1,NULL,1,int32,r,t,f,f,f,3,NULL,0,NULL
EM330DINAV53HS1X,152,current_n,An,A,1,int32,r,t,f,f,f,3,NULL,2,NULL
EM330DINAV53HS1X,770,firmware_v,Version code,NULL,1,uint16,r,f,t,f,f,3,NULL,0,NULL
EM330DINAV53HS1X,771,revision_code,Revision code,NULL,1,uint16,r,f,t,f,f,3,NULL,1,NULL
EM330DINAV53HS1X,4096,password,PASSWORD (EM only),NULL,1,uint16,r/w,f,t,t,f,3,6,96,NULL
